"pedido_codigo","pedido_id","data_hora","origem","situacao","situacao_descricao","valor_total_pedido","rastreio_id","produto_id","produto_nome","produto_titulo","codigo_pai","derivacao_id","derivacao_codigo","derivacao_nome","categoria_id","categoria","quantidade","valor_unitario","valor_desconto","valor_item","valor_frete","link_produto"
"0012507929660","4363","2025-07-07 08:18:16-03","1","8","Entregue","339.63","4363","580","Blusa Feminina Térmica Feminina CB","Blusa Térmica Feminina CB","1782","2947","1782GG","GG","46","Mais Vendidos","1","99.8","4.99","94.81","0","blusa-termica-feminina-cb"
"0012507184375","4364","2025-07-07 10:15:18-03","3","8","Entregue","187.82","4364","961","Body Feminino Núbia ML","Body Feminino Núbia ML","2119","4646","2119P","P","45","Lançamentos","1","197.7","9.88","187.82","0","body-feminino-nubia-ml"
"0012507980960","4365","2025-07-07 18:08:25-03","1","8","Entregue","244.82","4365","957","Casaco Feminino Soft Maya","Casaco Feminino Soft Maya","2115","4623","2115GG","GG","45","Lançamentos","1","257.7","12.88","244.82","0","casaco-feminino-soft-maya"
"0012507097186","4366","2025-07-08 12:05:03-03","3","8","Entregue","153.56","4366","723","Moletom Feminino Helena","Moletom Feminino Helena","1901","3762","1901G","G","39","Outlet","1","135.4","0","135.4","18.16","moletom-feminino-helena"
"0012507996996","4367","2025-07-08 15:48:04-03","3","8","Entregue","0","4367","918","Cropped Feminino Marina","Cropped Feminino Marina","2077","4483","2077GG","GG","6","Manga curta","1","167.7","0","167.7","0","cropped-feminino-marina"
"0012507996996","4367","2025-07-08 15:48:04-03","3","8","Entregue","0","4367","919","Saia Feminina Longa Marina","Saia Feminina Longa Marina","2078","4490","2078M","M","9","Saia","1","267.7","0","267.7","0","saia-feminina-longa-marina"
"0012507887412","4368","2025-07-09 08:34:08-03","3","8","Entregue","273.32","4368","575","Calça Feminina  Boot Cut Corcel","Calça Feminina  Boot Cut Corcel","1779","2919","177936","36","8","Calça","1","287.7","14.38","273.32","0","calca-feminina-boot-cut-corcel"
"0012507442316","4369","2025-07-09 15:13:56-03","3","8","Entregue","273.32","4369","575","Calça Feminina  Boot Cut Corcel","Calça Feminina  Boot Cut Corcel","1779","2923","177944","44","8","Calça","1","287.7","14.38","273.32","0","calca-feminina-boot-cut-corcel"
"0012507937476","4370","2025-07-09 16:12:26-03","1","8","Entregue","231.93","4370","168","Calça Jeans Feminina Boot Cut Morgan ","Calça Jeans Feminina Boot Cut Morgan ","1260","674","126036","36","8","Calça","1","257.7","25.77","231.93","0","calca-jeans-feminina-boot-cut-morgan"
"0012507928523","4371","2025-07-10 00:14:10-03","1","8","Entregue","621.72","4371","955","Casaco Soft Meio Zíper Alana","Casaco Soft Meio Zíper Alana","2112","4612","2112M","M","45","Lançamentos","1","257.7","25.77","231.93","0","casaco-soft-meio-ziper-alana"
"0012507928523","4371","2025-07-10 00:14:10-03","1","8","Entregue","621.72","4371","711","Jaqueta Feminina Softh Cut","Jaqueta Feminina Softh Cut","1888","3699","1888MBRANCO","Branco - M","39","Outlet","1","175.4","17.54","157.86","0","jaqueta-feminina-softh-cut"
"0012507928523","4371","2025-07-10 00:14:10-03","1","8","Entregue","621.72","4371","570","Casaco Feminino Soft Cute","Casaco Feminino soft cute","1756","2899","1756MPRETO","Preto - M","13","Jaqueta","1","257.7","25.77","231.93","0","casaco-feminino-soft-cute-1756"
"0012507241491","4372","2025-07-10 09:49:46-03","1","8","Entregue","244.82","4372","570","Casaco Feminino Soft Cute","Casaco Feminino soft cute","1756","2900","1756GPRETO","Preto - G","13","Jaqueta","1","257.7","12.88","244.82","0","casaco-feminino-soft-cute-1756"
