"itemName","itemId","itemCategory","itemsViewed","itemsAddedToCart","itemsPurchased","itemRevenue"
"Blusa Feminina Horse Cabana","1797","Verão 2024","20","0","0","0"
"Cropped Feminino Iza ","1812","Feminino","20","1","0","0"
"T-Shirt Andaluz Kids","1508","Mãe e Filha","20","0","0","0"
"Óculos Cabana Unissex Jader","2186","Lançamentos","20","0","0","0"
"Blusa Feminina Falabella","1740","Feminino","19","0","0","0"
"Camisete Feminina Marina","2106","Lançamentos","19","0","0","0"
"Pulseira Feminina Ellos Cabana ","2009","Acessórios","19","0","0","0"
"Óculos Cabana Unissex Léo","2184","Acessórios","19","0","0","0"
"Cropped Feminino Boa-ventura","1665","Feminino","18","1","0","0"
"Pulseira Feminina Horse Preto","2014","Lançamentos","18","0","0","0"
"Shorts Feminino Aurora","1647","Outlet","18","0","0","0"
"Vestido Simone","1842","Feminino","18","0","0","0"
"Blusa Feminina Beatriz","1840","Feminino","17","0","0","0"
"Colar Feminino Choker Cabana","2064","Acessórios","17","0","0","0"
"Jaqueta Feminina Cowgirl","2315","Lançamentos","17","1","0","0"
"T-Shirt Feminina Greice","2247","Lançamentos","17","0","0","0"
"Óculos Cabana Lize","2164","Acessórios","17","0","0","0"
"Óculos Cabana Paty","2170","Acessórios","17","0","0","0"
"Lenço Feminino Cabana 67x68","2102","Lançamentos","16","0","0","0"
"Vestido Courino Feminino Chloe","2237","Lançamentos","15","0","0","0"
"Óculos Cabana Unissex Ivan","2182","Acessórios","15","0","0","0"
"Blusa Feminina Zoe Kids","2253","Lançamentos","14","2","0","0"
"Óculos Cabana Beatriz","2167","Acessórios","14","1","0","0"
"Óculos Cabana Maya","2213","Acessórios","14","0","0","0"
"Cropped Feminino Tatiana","1814","Verão 2024","13","0","0","0"
"Óculos Cabana Realeza","2217","Acessórios","13","0","0","0"
"Pulseira Feminina Laços Cabana","1961","Acessórios","12","0","0","0"
"T-Shirt Feminina Sofia","2238","Lançamentos","12","0","0","0"
"Óculos Cabana Lilia","2169","Acessórios","12","0","0","0"
"Blusa Feminina Camila","1841","Feminino","11","1","0","0"
"Cinto CB Cabana Dourado","8027","Acessórios","11","0","0","0"
"BOLSA FEMININA COURO CABANA","8041","Acessórios","10","0","0","0"
"Cinto CB Cabana Preto Liso","8030","Acessórios","10","0","0","0"
"Lenço Feminino Emanuely","2219","Acessórios","10","0","0","0"
"Óculos Cabana Ayla","2176","Acessórios","10","0","0","0"
"Óculos Cabana Bruna","2178","Acessórios","10","0","0","0"
"Óculos Cabana Sandra","2163","Acessórios","10","0","0","0"
"Óculos Cabana Renata","2172","Acessórios","9","0","0","0"
"Maxi Ted Rose","1929","Feminino","8","0","0","0"
"Óculos Cabana Laís","2215","Acessórios","8","0","0","0"
"Óculos Cabana Unissex Artur","2173","Acessórios","8","0","0","0"
"Cropped Feminino Redea Solta","1799","Feminino","7","0","0","0"
"Óculos Cabana Núbia","2211","Acessórios","7","0","0","0"
"Chemise Tordilho Negro","1751","Feminino","6","0","0","0"
"Pulseira Feminina Laços Cabana","1958","Acessórios","6","0","0","0"
"Regata Feminina Realeza","1981","Feminino","5","0","0","0"
"Regata Pampa","1798","Outlet","5","0","0","0"
"Óculos Cabana Aline","2171","Acessórios","5","0","0","0"
"Óculos Cabana Duda","2189","Acessórios","5","0","0","0"
"BOLSA FEMININA COURO IONE CABANA","393","Acessórios","4","0","0","0"
"Blusa Feminina Favorita","1830","Feminino","4","0","0","0"
"T-Shirt Feminina Brisão Talita","2244","Lançamentos","4","0","0","0"
"Vestido Colors","1737","Feminino","4","0","0","0"
"Blusa Feminina Amarração Laura","2224","Lançamentos","3","0","0","0"
"Pulseira Feminina Laços Cabana","1960","Acessórios","3","0","0","0"
"Vestido Boa-ventura","1736","Feminino","3","0","0","0"
"Colete Feminino Xadrez Valentina","2296","Lançamentos","2","0","0","0"
"Jaqueta Cropped Joey","1760","Feminino","2","0","0","0"
"Regata Ferradura","1769","Feminino","2","0","0","0"
"Vestido Lusitanos","1720","Feminino","2","0","0","0"
"Blusa Bons Tempos","1772","Feminino","1","0","0","0"
"Bombacha Feminina Linho Cabana","1898","Feminino","1","0","0","0"
"Ciganinha Tordilho","1770","Feminino","1","0","0","0"
"Pulseira Feminina Elos","003PULSEIRAELOS","Acessórios","1","0","0","0"
"Regata Eros","1768","Feminino","1","0","0","0"
"Regata Moldura Equestre","1765","Feminino","1","0","0","0"
"Regata Rosas","1764","Feminino","1","0","0","0"
"Vestido Aurora","1735","Feminino","1","0","0","0"
"Vestido Love Horses","1787DESATIVADO","Outlet","1","0","0","0"
"Óculos Cabana Camila","2180","Acessórios","1","0","0","0"
"Colar Feminino Choker Cabana","2073U","Acessórios,Semi-Jóias,Colar","0","2","0","0"
"Colar Feminino Ellos Cabana","1966U","Acessórios,Semi-Jóias,Colar","0","1","0","0"
"Colar Feminino Ellos Cabana","1969U","Acessórios,Semi-Jóias,Colar","0","1","0","0"
"Pulseira Feminina Ellos Cabana ","2009U","Acessórios","0","1","0","0"
"Pulseira Feminina Horse Preto","2014U","Lançamentos","0","1","0","0"
